Station,Datum,Maxgemiddeld,Mingemiddeld,Maxwindstoot
260,20160703,   40,   10,  100
260,20160704,   30,    0,   70
260,20160705,   60,   20,  130
260,20160706,   40,    0,   80
260,20160707,   50,    0,   90
260,20160708,   60,   10,  120
260,20160709,   50,   10,  100
260,20160710,   50,   10,  110
260,20160711,   80,   40,  160
260,20160712,   50,   10,   90
260,20160713,   50,   10,  100
260,20160714,   50,   10,  110
260,20160715,   50,   10,  110
260,20160716,   50,   20,   80
260,20160717,   40,    0,  100
260,20160718,   40,    0,   70
260,20160719,   30,   10,   60
260,20160720,   60,   10,  110
260,20160721,   40,   10,   80
260,20160722,   20,   10,   40
260,20160723,   40,   10,   70
260,20160724,   30,    0,   60
260,20160725,   40,    0,   80
260,20160726,   30,    0,   60
260,20160727,   50,    0,  120
260,20160728,   50,    0,  100
260,20160729,   50,   30,  100
260,20160730,   50,   10,   80
260,20160731,   50,    0,   90
260,20160801,   50,   10,   90
260,20160802,   40,   20,  100
260,20160803,   70,   40,  140
260,20160804,   60,   20,  120
260,20160805,   50,   10,   90
260,20160806,   50,   10,   90
260,20160807,   60,   10,  110
260,20160808,   60,    0,  130
260,20160809,   40,   10,  100
260,20160810,   40,    0,   90
260,20160811,   60,   10,  100
260,20160812,   50,   20,  100
260,20160813,   50,   10,  100
260,20160814,   40,    0,   70
260,20160815,   40,    0,   90
260,20160816,   50,   20,   80
260,20160817,   70,   10,  110
260,20160818,   50,   10,   80
260,20160819,   60,   10,  130
260,20160820,   70,   30,  160
260,20160821,   60,   30,  130
260,20160822,   60,   10,  120
260,20160823,   30,   10,   50
260,20160824,   40,   10,   70
260,20160825,   30,   10,   60
260,20160826,   40,   10,   60
260,20160827,   50,   10,   90
260,20160828,   60,   10,  130
260,20160829,   40,    0,   70
260,20160830,   20,    0,   50
260,20160831,   40,   10,   80
260,20160901,   30,    0,   70
260,20160902,   50,   10,   90
260,20160903,   50,   20,  100
260,20160904,   60,   30,  140
260,20160905,   40,    0,   70
260,20160906,   40,    0,   80
260,20160907,   30,    0,   50
260,20160908,   40,   10,   90
260,20160909,   40,   10,   70
260,20160910,   50,   10,   90
260,20160911,   30,   10,   70
260,20160912,   30,   10,   60
260,20160913,   50,   10,   80
260,20160914,   40,   10,   60
260,20160915,   50,   20,  110
260,20160916,   50,   20,   80
260,20160917,   30,   10,   40
260,20160918,   40,   10,   80
260,20160919,   20,    0,   50
260,20160920,   20,    0,   50
260,20160921,   40,   10,   60
260,20160922,   30,   10,   60
260,20160923,   40,    0,   90
260,20160924,   40,   20,   90
260,20160925,   50,   20,  120
260,20160926,   20,    0,   50
260,20160927,   50,    0,   80
260,20160928,   70,   30,  130
260,20160929,   80,   20,  140
260,20160930,   60,   10,  110
260,20161001,   40,   20,   90
260,20161002,   50,   20,  110
260,20161003,   40,   20,   80
260,20161004,   60,   30,   90
260,20161005,   80,   20,  120
260,20161006,   50,   20,   90
260,20161007,   40,   20,   70
260,20161008,   30,   20,   70
260,20161009,   20,    0,   70
260,20161010,   40,    0,   70
260,20161011,   30,    0,   60
260,20161012,   60,   30,  100
260,20161013,   70,   40,  120
260,20161014,   60,   30,  100
260,20161015,   40,   20,   80
260,20161016,   50,   20,   80
260,20161017,   40,   10,   80
260,20161018,   60,   20,  130
260,20161019,   60,   10,  150
260,20161020,   50,   10,  100
260,20161021,   30,    0,   70
260,20161022,   30,    0,   60
260,20161023,   30,    0,   50
260,20161024,   40,   10,   70
260,20161025,   30,    0,   50
260,20161026,   30,    0,   60
260,20161027,   50,   20,   90
260,20161028,   50,   10,   80
260,20161029,   20,    0,   40
260,20161030,   20,    0,   30
260,20161031,   20,   10,   30
260,20161101,   50,   10,   90
260,20161102,   40,   10,  160
260,20161103,   40,   10,   70
260,20161104,   50,   30,   80
260,20161105,   40,   20,   90
260,20161106,   40,   10,  100
260,20161107,   50,   10,   90
260,20161108,   30,    0,   70
260,20161109,   40,   10,   70
260,20161110,   40,   10,   70
260,20161111,   50,   10,   90
260,20161112,   40,   20,   90
260,20161113,   30,   10,   50
260,20161114,   50,   10,   90
260,20161115,   50,   20,   90
260,20161116,   50,   20,  130
260,20161117,   90,   30,  160
260,20161118,   80,   40,  130
260,20161119,   60,   30,  110
260,20161120,  130,   20,  260
260,20161121,   60,   30,  110
260,20161122,   60,   20,  110
260,20161123,   50,   10,  110
260,20161124,   80,   40,  150
260,20161125,   70,   20,  120
260,20161126,   20,    0,   50
260,20161127,   40,   10,   60
260,20161128,   50,   10,   90
260,20161129,   20,    0,   30
260,20161130,   30,    0,   70
260,20161201,   40,   20,   80
260,20161202,   30,   10,   60
260,20161203,   10,    0,   20
260,20161204,   30,   10,   50
260,20161205,   20,   10,   30
260,20161206,   30,   10,   50
260,20161207,   60,   20,   90
260,20161208,   60,   40,  100
280,20160101,   50,   10,   80
280,20160102,   80,   40,  140
280,20160103,   80,   40,  140
280,20160104,   60,   50,  100
280,20160105,   60,   40,  110
280,20160106,   60,   40,  100
280,20160107,   90,   40,  160
280,20160108,  110,   30,  180
280,20160109,   50,   30,  100
280,20160110,   70,   40,  120
