
  19450101,  -12
  19450102,   11
  19450103,   42
  19450104,    3
  19450105,   -2
  19450106,   -1
  19450107,   11
  19450108,   -2
  19450109,  -25
  19450110,  -39
  19450111,  -38
  19450112,   12
  19450113,    7
  19450114,  -37
  19450115,   -3
  19450116,   -5
  19450117,   22
  19450118,   32
  19450119,   14
  19450120,  -28
  19450121,  -56
  19450122,  -26
  19450123,  -43
  19450124,  -47
  19450125,  -65
  19450126,  -73
  19450127,  -36
  19450128,  -41
  19450129,  -34
  19450130,  -32
  19450131,   31
  19450201,   60
  19450202,   72
  19450203,   36
  19450204,   51
  19450205,   58
  19450206,   58
  19450207,   79
  19450208,   55
  19450209,   49
  19450210,   48
  19450211,   24
  19450212,   38
  19450213,   89
  19450214,   67
  19450215,   53
  19450216,   62
  19450217,   47
  19450218,   78
  19450219,   89
  19450220,   78
  19450221,   41
  19450222,   53
  19450223,   55
  19450224,   37
  19450225,   58
  19450226,   98
  19450227,   93
  19450228,   75
  19450301,   59
  19450302,   31
  19450303,   31
  19450304,   43
  19450305,   45
  19450306,   50
  19450307,   51
  19450308,   55
  19450309,   57
  19450310,   67
  19450311,   63
  19450312,   52
  19450313,   43
  19450314,   56
  19450315,   59
  19450316,   53
  19450317,   70
  19450318,   63
  19450319,   85
  19450320,   94
  19450321,   77
  19450322,   81
  19450323,  125
  19450324,  147
  19450325,  144
  19450326,  120
  19450327,   79
  19450328,   75
  19450329,  107
  19450330,  104
  19450331,   95
  19450401,  121
  19450402,  113
  19450403,   83
  19450404,   81
  19450405,   78
  19450406,   83
  19450407,   79
  19450408,   69
  19450409,   62
  19450410,  110
  19450411,  141
  19450412,  144
  19450413,  121
  19450414,  108
  19450415,  122
  19450416,  164
  19450417,  155
  19450418,  130
  19450419,  123
  19450420,  128
  19450421,   99
  19450422,   82
  19450423,   75
  19450424,   84
  19450425,  106
  19450426,  130
  19450427,   94
  19450428,   63
  19450429,   46
  19450430,   46
  19450501,   61
  19450502,   63
  19450503,   69
  19450504,   68
  19450505,   83
  19450506,  129
  19450507,  148
  19450508,  167
  19450509,  190
  19450510,  185
  19450511,  205
  19450512,  211
  19450513,  200
  19450514,  140
  19450515,  136
  19450516,  157
  19450517,  166
  19450518,  145
  19450519,  131
  19450520,  162
  19450521,  116
  19450522,  112
  19450523,  126
  19450524,  107
  19450525,  110
  19450526,  108
  19450527,  120
  19450528,  145
  19450529,  126
  19450530,  121
  19450531,  128
  19450601,  129
  19450602,  142
  19450603,  170
  19450604,  149
  19450605,  144
  19450606,  168
  19450607,  182
  19450608,  146
  19450609,  143
  19450610,  134
  19450611,  156
  19450612,  144
  19450613,  126
  19450614,  134
  19450615,  149
  19450616,  137
  19450617,  124
  19450618,  149
  19450619,  184
  19450620,  205
  19450621,  198
  19450622,  171
  19450623,  198
  19450624,  181
  19450625,  172
  19450626,  162
  19450627,  125
  19450628,  136
  19450629,  147
  19450630,  150
  19450701,  140
  19450702,  136
  19450703,  127
  19450704,  149
  19450705,  161
  19450706,  170
  19450707,  171
  19450708,  171
  19450709,  190
  19450710,  192
  19450711,  163
  19450712,  179
  19450713,  204
  19450714,  236
  19450715,  249
  19450716,  185
  19450717,  167
  19450718,  197
  19450719,  192
  19450720,  174
  19450721,  188
  19450722,  172
  19450723,  172
  19450724,  182
  19450725,  160
  19450726,  178
  19450727,  153
  19450728,  138
  19450729,  158
  19450730,  158
  19450731,  142
  19450801,  150
  19450802,  151
  19450803,  154
  19450804,  173
  19450805,  178
  19450806,  160
  19450807,  146
  19450808,  151
  19450809,  151
  19450810,  172
  19450811,  169
  19450812,  166
  19450813,  174
  19450814,  171
  19450815,  166
  19450816,  152
  19450817,  148
  19450818,  165
  19450819,  149
  19450820,  150
  19450821,  151
  19450822,  154
  19450823,  149
  19450824,  156
  19450825,  174
  19450826,  154
  19450827,  163
  19450828,  192
  19450829,  180
  19450830,  154
  19450831,  143
  19450901,  128
  19450902,  141
  19450903,  159
  19450904,  169
  19450905,  159
  19450906,  143
  19450907,  128
  19450908,  137
  19450909,  137
  19450910,  147
  19450911,  153
  19450912,  164
  19450913,  159
  19450914,  141
  19450915,  155
  19450916,  162
  19450917,  179
  19450918,  191
  19450919,  157
  19450920,  165
  19450921,  146
  19450922,  134
  19450923,  114
  19450924,  111
  19450925,  109
  19450926,  112
  19450927,  122
  19450928,  112
  19450929,  104
  19450930,  114
  19451001,  127
  19451002,  109
  19451003,  116
  19451004,  103
  19451005,   94
  19451006,  125
  19451007,  114
  19451008,  118
  19451009,  115
  19451010,  117
  19451011,  128
  19451012,  106
  19451013,  118
  19451014,  116
  19451015,  120
  19451016,  120
  19451017,  116
  19451018,   98
  19451019,   80
  19451020,  112
  19451021,  139
  19451022,  135
  19451023,  127
  19451024,  128
  19451025,  109
  19451026,  109
  19451027,  103
  19451028,  100
  19451029,  112
  19451030,   86
  19451031,   88
  19451101,   76
  19451102,   90
  19451103,  108
  19451104,   96
  19451105,   83
  19451106,   83
  19451107,   83
  19451108,   90
  19451109,   71
  19451110,   64
  19451111,   58
  19451112,   47
  19451113,   42
  19451114,   35
  19451115,    1
  19451116,   -9
  19451117,   33
  19451118,   53
  19451119,   43
  19451120,   21
  19451121,   37
  19451122,   19
  19451123,   15
  19451124,    6
  19451125,   -6
  19451126,   26
  19451127,   43
  19451128,   50
  19451129,   57
  19451130,   53
  19451201,   30
